espece	sous-famille	traitement	plante	Phe	Dap	Put	AcCad	NAcHSpd	Oct	MTyr	Tyr	Spd	HSpd	Dop	Spm
D	D1	S	127	155,89	926,57	118,66	65,5	131,71	644,84	135	496,22	37,4	97,5	603,83	49,54
D	D1	S	128	337,08	963,22	151,26	121,64	149,29	786,75	171,42	708,91	61,57	82,42	585,03	562,95
D	D1	S	129	479,93	1139,58	184,83	98,86	158,75	72,19	109,41	652,42	64,58	151,67	657,76	71,2
D	D2	T	130	276,04	1189,21	195,9	75,97	173,84	115,19	170,52	870,52	39,9	203,28	810,22	255,24
D	D2	T	131	164,52	606,43	69,71	60,61	114,8	56,74	97,54	814,14	28,45	119,31	531,22	87,23
D	D2	T	132	213,42	1203,25	95,45	88,85	153,4	415,26	189,59	938,13	56,3	254,95	623,52	50,58
D	D2	T	133	223,5	1025,88	72,6	104,02	184,94	82,36	184,94	848,41	44,12	179,28	705,14	76,64
D	D2	S	134	484,12	1064,29	90,02	126,23	216,61	173,14	202,29	909,37	47,59	217,22	771,14	150,98
D	D2	S	135	322,34	938,67	120,45	79,41	147,96	90,75	144,78	721,09	23,37	187,97	709,71	111,62
D	D2	S	136	417,95	966,45	111,78	57,34	256,62	1029,91	129,92	1091,81	64,21	54,73	726,06	83,77
D	D2	S	137	546,89	948,76	101,8	157,53	246,89	1280,74	245,47	574,6	44,45	86,74	716,45	172,25
D	D3	T	138	160,13	831,5	102,01	55,47	71,11	123,02	64,23	612,07	41,08	160,8	740,75	409,58
D	D3	T	139	311,44	940,71	117,51	37,67	162,11	460,49	157,39	588,26	25,3	164,9	771,67	329,68
D	D3	T	140	167,24	1031,15	89,13	39,67	154,33	980,76	94,01	810,74	49,31	149,93	716,55	305,39
D	D3	T	141	292,05	912,31	78,13	83,9	141,77	146,68	379,04	772,9	50,19	135,24	628,57	133,83
D	D3	S	142	337,65	1092,6	95,29	106,59	143,01	777,65	37,29	127,76	1172,8	55,44	210,19	969,58
D	D3	S	143	266,54	1260,87	163,44	102,62	250	296,73	101,68	860,26	70,48	105,01	736,46	252,5
D	D3	S	144	310,93	1031,13	98,76	31,32	184,56	856,49	131,85	703,93	55,34	130,81	691,27	140,03
D	D3	S	145	245,92	1369,73	148,55	149,79	155,45	32,17	140,21	977,15	62,16	200,05	730,57	65,1
D	D3	S	146	344,11	755,26	63	53,83	128,18	158,26	81,44	712,97	31,13	30,11	741,56	164,5
D	D4	T	147	340,87	725,95	82,28	104	150,92	138,36	157,65	893,18	39,61	78,32	837,28	431,65
D	D4	T	148	413,2	888,69	98,12	67,23	136,34	118,73	75,2	756,25	73,58	43,76	762,5	457,98
D	D4	T	149	413,2	888,69	98,12	67,23	136,34	118,73	75,2	756,25	73,58	43,76	762,5	457,98
D	D4	S	150	402,51	1181,4	203,77	72,14	202,61	113,78	141,84	1453,25	68,14	127,89	1108,63	1321,53
D	D4	S	151	300,48	1193,17	186,24	58,59	116,37	111,43	101,96	796,25	54	141,98	789,65	97,29
D	D4	S	152	387,24	1162,64	122,03	66,26	200,99	103,45	169,25	1041,51	76,3	113,64	923,51	284,23
D	D5	T	153	247,19	896,73	118,39	134,35	139,87	483,21	94,85	1229,82	49,71	412,28	758,74	201,14
D	D5	T	154	252,75	896,35	116,71	129,5	170,75	1646,07	117,95	1107,73	57,6	205,92	656,83	785,21
D	D5	T	155	341,46	736,13	48,53	100,34	123,53	483,21	116,63	1024,77	63,19	90,31	536,72	867,71
D	D5	T	156	227,08	1010,7	114,32	74,5	103,74	320,09	111,75	1179,74	68,6	183,26	594,21	993,37
D	D5	S	157	563,48	1165,35	157,08	140,96	182,08	131,6	198,45	1554,16	82,32	186,2	605,16	116,4
D	D5	S	158	342,77	1031,49	96,67	113,98	95,37	61,22	138,79	866,17	45,3	115,6	644,52	128,26
D	D5	S	159	442,35	1092,94	97,55	137,56	182,47	92,4	247,84	775,84	41,33	115,35	694,99	122,4
